date,Korea,Korea_s
04/07/2021,7110,7110
05/07/2021,7460,7460
06/07/2021,12120,12120
07/07/2021,12750,12750
08/07/2021,13160,13160
09/07/2021,13780,13780
10/07/2021,13240,13240
11/07/2021,11000,11000
12/07/2021,11500,11500
13/07/2021,16150,16150
14/07/2021,16000,16000
15/07/2021,15350,15350
16/07/2021,14540,14540
17/07/2021,14510,14510
18/07/2021,12520,12520
19/07/2021,12780,12780
20/07/2021,17840,17840
21/07/2021,18380,18380
22/07/2021,16300,16300
23/07/2021,16290,16290
24/07/2021,14860,14860
25/07/2021,13180,13180
26/07/2021,13650,13650
27/07/2021,18960,18960
28/07/2021,16720,16720
29/07/2021,17070,17070
30/07/2021,15390,15390
31/07/2021,14420,14420
01/08/2021,12150,12150
02/08/2021,12010,12010
03/08/2021,17230,17230
04/08/2021,17760,17760
05/08/2021,17040,17040
06/08/2021,18220,18220
07/08/2021,17280,17280
08/08/2021,14920,14920
09/08/2021,15390,15390
10/08/2021,22190,22190
11/08/2021,19860,19860
12/08/2021,19900,19900
13/08/2021,19290,19290
14/08/2021,18170,18170
15/08/2021,15530,15530
16/08/2021,13730,13730
17/08/2021,18030,18030
18/08/2021,21510,21510
19/08/2021,20510,20510
20/08/2021,18800,18800
21/08/2021,16270,16270
22/08/2021,14160,14160
23/08/2021,15050,15050
24/08/2021,21520,21520
25/08/2021,18780,18780
26/08/2021,18410,18410
27/08/2021,17930,17930
28/08/2021,16170,16170
29/08/2021,14830,14830
30/08/2021,13700,13700
31/08/2021,20240,20240
01/09/2021,19560,19560
02/09/2021,17090,17090
03/09/2021,18030,18030
04/09/2021,14910,14910
05/09/2021,13740,13740
06/09/2021,15960,15960
07/09/2021,20490,20490
08/09/2021,20470,20470
09/09/2021,18920,18920
10/09/2021,18650,18650
11/09/2021,17550,17550
12/09/2021,14330,14330
13/09/2021,14950,14950
14/09/2021,20790,20790
15/09/2021,19410,19410
16/09/2021,20080,20080
17/09/2021,20840,20840
18/09/2021,19090,19090
19/09/2021,16050,16050
20/09/2021,17270,17270
21/09/2021,17200,17200
22/09/2021,17160,17160
23/09/2021,24330,24330
24/09/2021,32700,32700
25/09/2021,27700,27700
26/09/2021,23810,23810
27/09/2021,22890,22890
28/09/2021,28830,28830
29/09/2021,25640,25640
30/09/2021,24840,24840
01/10/2021,22470,22470
02/10/2021,20850,20850
03/10/2021,16720,16720
04/10/2021,15750,15750
05/10/2021,20270,20270
06/10/2021,24250,24250
07/10/2021,21720,21720
08/10/2021,19490,19490
09/10/2021,15940,15940
10/10/2021,12970,12970
11/10/2021,13470,13470
12/10/2021,15790,15790
13/10/2021,19370,19370
14/10/2021,16820,16820
15/10/2021,16170,16170
16/10/2021,14180,14180
17/10/2021,10490,10490
18/10/2021,10730,10730
19/10/2021,15700,15700
20/10/2021,14410,14410
21/10/2021,14400,14400
22/10/2021,15070,15070
23/10/2021,14230,14230
24/10/2021,11900,11900
25/10/2021,12660,12660
26/10/2021,19500,19500
27/10/2021,21070,21070
28/10/2021,21240,21240
29/10/2021,21030,21030
30/10/2021,20610,20610
31/10/2021,16860,16860
01/11/2021,15880,15880
02/11/2021,26660,26660
03/11/2021,24800,24800
04/11/2021,23440,23440
05/11/2021,22480,22480
06/11/2021,22230,22230
07/11/2021,17590,17590
08/11/2021,17130,17130
09/11/2021,24240,24240
10/11/2021,25200,25200
11/11/2021,23680,23680
12/11/2021,23230,23230
13/11/2021,24180,24180
14/11/2021,20060,20060
15/11/2021,21250,21250
16/11/2021,31840,31840
17/11/2021,32900,32900
18/11/2021,30340,30340
19/11/2021,32120,32120
20/11/2021,31140,31140
21/11/2021,28270,28270
22/11/2021,26980,26980
23/11/2021,41150,41150
24/11/2021,39370,39370
25/11/2021,38990,38990
26/11/2021,40670,40670
27/11/2021,39280,39280
28/11/2021,33040,33040
29/11/2021,30300,30300
30/11/2021,51200,51200
01/12/2021,52620,52620
02/12/2021,49430,49430
03/12/2021,53520,53520
04/12/2021,51270,51270
05/12/2021,43240,43240
06/12/2021,49520,49520
07/12/2021,71740,71740
08/12/2021,71000,71000
09/12/2021,70220,70220
10/12/2021,69770,69770
11/12/2021,66880,66880
12/12/2021,58170,58170
13/12/2021,55640,55640
14/12/2021,78430,78430
15/12/2021,76220,76220
16/12/2021,74340,74340
17/12/2021,73130,73130
18/12/2021,62340,62340
19/12/2021,53160,53160
20/12/2021,52010,52010
21/12/2021,74500,74500
22/12/2021,69130,69130
23/12/2021,62310,62310
24/12/2021,58360,58360
25/12/2021,54180,54180
26/12/2021,42070,42070
27/12/2021,38620,38620
28/12/2021,54060,54060
