date,South Korea,South Korea
05/09/2021,1374,1374
06/09/2021,1596,1596
07/09/2021,2049,2049
08/09/2021,2047,2047
09/09/2021,1892,1892
10/09/2021,1865,1865
11/09/2021,1755,1755
12/09/2021,1433,1433
13/09/2021,1495,1495
14/09/2021,2079,2079
15/09/2021,1941,1941
16/09/2021,2008,2008
17/09/2021,2084,2084
18/09/2021,1909,1909
19/09/2021,1605,1605
20/09/2021,1727,1727
21/09/2021,1720,1720
22/09/2021,1716,1716
23/09/2021,2433,2433
24/09/2021,3270,3270
25/09/2021,2770,2770
26/09/2021,2381,2381
27/09/2021,2289,2289
28/09/2021,2883,2883
29/09/2021,2564,2564
30/09/2021,2484,2484
01/10/2021,2247,2247
02/10/2021,2085,2085
03/10/2021,1672,1672
04/10/2021,1575,1575
05/10/2021,2027,2027
06/10/2021,2425,2425
07/10/2021,2172,2172
08/10/2021,1949,1949
09/10/2021,1594,1594
10/10/2021,1297,1297
11/10/2021,1347,1347
12/10/2021,1579,1579
13/10/2021,1937,1937
14/10/2021,1682,1682
15/10/2021,1617,1617
16/10/2021,1418,1418
17/10/2021,1049,1049
18/10/2021,1073,1073
19/10/2021,1570,1570
20/10/2021,1441,1441
21/10/2021,1440,1440
22/10/2021,1507,1507
23/10/2021,1423,1423
24/10/2021,1190,1190
25/10/2021,1266,1266
26/10/2021,1950,1950
27/10/2021,2107,2107
28/10/2021,2124,2124
29/10/2021,2103,2103
30/10/2021,2061,2061
31/10/2021,1686,1686
01/11/2021,1588,1588
02/11/2021,2666,2666
03/11/2021,2480,2480
04/11/2021,2344,2344
05/11/2021,2248,2248
06/11/2021,2223,2223
07/11/2021,1759,1759
08/11/2021,1713,1713
09/11/2021,2424,2424
10/11/2021,2520,2520
11/11/2021,2368,2368
12/11/2021,2323,2323
13/11/2021,2418,2418
14/11/2021,2006,2006
15/11/2021,2125,2125
16/11/2021,3184,3184
17/11/2021,3290,3290
18/11/2021,3034,3034
19/11/2021,3212,3212
20/11/2021,3114,3114
21/11/2021,2827,2827
22/11/2021,2698,2698
23/11/2021,4115,4115
24/11/2021,3937,3937
25/11/2021,3899,3899
26/11/2021,4067,4067
27/11/2021,3928,3928
28/11/2021,3304,3304
29/11/2021,3030,3030
30/11/2021,5120,5120
01/12/2021,5262,5262
02/12/2021,4943,4943
03/12/2021,5352,5352
04/12/2021,5127,5127
05/12/2021,4324,4324
06/12/2021,4952,4952
07/12/2021,7174,7174
08/12/2021,7100,7100
09/12/2021,7022,7022
10/12/2021,6977,6977
11/12/2021,6688,6688
12/12/2021,5817,5817
13/12/2021,5564,5564
14/12/2021,7843,7843
15/12/2021,7622,7622
16/12/2021,7434,7434
17/12/2021,7313,7313
18/12/2021,6234,6234
19/12/2021,5316,5316
20/12/2021,5201,5201
21/12/2021,7450,7450
22/12/2021,6913,6913
23/12/2021,6231,6231
24/12/2021,5836,5836
25/12/2021,5418,5418
26/12/2021,4207,4207
27/12/2021,3862,3862
28/12/2021,5406,5406
29/12/2021,5029,5029
30/12/2021,4871,4871
31/12/2021,4415,4415
01/01/2022,3830,3830
02/01/2022,3124,3124
03/01/2022,3019,3019
04/01/2022,4443,4443
05/01/2022,4123,4123
06/01/2022,3716,3716
07/01/2022,3507,3507
08/01/2022,3376,3376
09/01/2022,2999,2999
10/01/2022,3093,3093
11/01/2022,4385,4385
12/01/2022,4162,4162
13/01/2022,4536,4536
14/01/2022,4418,4418
15/01/2022,4190,4190
16/01/2022,3858,3858
17/01/2022,4070,4070
18/01/2022,5800,5800
19/01/2022,6601,6601
20/01/2022,6766,6766
21/01/2022,7005,7005
22/01/2022,7628,7628
23/01/2022,7511,7511
24/01/2022,8566,8566
25/01/2022,13004,13004
26/01/2022,14514,14514
27/01/2022,16085,16085
28/01/2022,17540,17540
29/01/2022,17515,17515
30/01/2022,17072,17072
31/01/2022,18333,18333
01/02/2022,20268,20268
02/02/2022,22904,22904
03/02/2022,27442,27442
04/02/2022,36362,36362
05/02/2022,38670,38670
06/02/2022,35275,35275
07/02/2022,36718,36718
08/02/2022,49558,49558
09/02/2022,54122,54122
10/02/2022,53926,53926
11/02/2022,54918,54918
12/02/2022,56425,56425
13/02/2022,54616,54616
14/02/2022,57175,57175
15/02/2022,90430,90430
16/02/2022,93127,93127
17/02/2022,109828,109828
18/02/2022,102203,102203
19/02/2022,104828,104828
20/02/2022,95347,95347
21/02/2022,99550,99550
22/02/2022,171448,171448
23/02/2022,170006,170006
24/02/2022,165889,165889
25/02/2022,166206,166206
26/02/2022,163558,163558
27/02/2022,139615,139615
28/02/2022,138993,138993
01/03/2022,219237,219237
02/03/2022,198802,198802
03/03/2022,266838,266838
04/03/2022,254326,254326
05/03/2022,243612,243612
06/03/2022,210713,210713
07/03/2022,202714,202714
08/03/2022,342427,342427
09/03/2022,327532,327532
10/03/2022,282976,282976
11/03/2022,383651,383651
12/03/2022,350176,350176
13/03/2022,309769,309769
14/03/2022,362328,362328
15/03/2022,400725,400725
16/03/2022,621317,621317
17/03/2022,407017,407017
18/03/2022,381329,381329
19/03/2022,334708,334708
20/03/2022,209169,209169
21/03/2022,353725,353725
22/03/2022,490707,490707
23/03/2022,395589,395589
24/03/2022,339396,339396
25/03/2022,335479,335479
26/03/2022,318130,318130
27/03/2022,187213,187213
28/03/2022,347374,347374
29/03/2022,424528,424528
30/03/2022,320675,320675
31/03/2022,280187,280187
01/04/2022,264097,264097
02/04/2022,234301,234301
03/04/2022,127190,127190
04/04/2022,265995,265995
05/04/2022,286243,286243
06/04/2022,224761,224761
07/04/2022,205289,205289
08/04/2022,185495,185495
09/04/2022,164481,164481
10/04/2022,90928,90928
11/04/2022,210676,210676
12/04/2022,195370,195370
13/04/2022,148417,148417
14/04/2022,125808,125808
15/04/2022,107882,107882
16/04/2022,93001,93001
17/04/2022,47743,47743
18/04/2022,118445,118445
19/04/2022,111280,111280
20/04/2022,90825,90825
21/04/2022,81010,81010
22/04/2022,75414,75414
23/04/2022,64725,64725
24/04/2022,34370,34370
