date,b_limp,b_sujo
12/09/2021,7861,7861
13/09/2021,8648,8648
14/09/2021,13571,13571
15/09/2021,13276,13276
16/09/2021,35447,35447
17/09/2021,35337,35337
18/09/2021,,
19/09/2021,9175,9175
20/09/2021,9285,9285
21/09/2021,15380,15380
22/09/2021,32583,32583
23/09/2021,24917,24917
24/09/2021,18665,18665
25/09/2021,13863,13863
26/09/2021,8856,8856
27/09/2021,9345,9345
28/09/2021,16884,16884
29/09/2021,16885,16885
30/09/2021,21951,21951
01/10/2021,18062,18062
02/10/2021,12386,12386
03/10/2021,9153,9153
04/10/2021,11518,11518
05/10/2021,22145,22145
06/10/2021,18546,18546
07/10/2021,14616,14616
08/10/2021,18535,18535
09/10/2021,14804,14804
10/10/2021,8412,8412
11/10/2021,6993,6993
12/10/2021,7355,7355
13/10/2021,8372,8372
14/10/2021,15232,15232
15/10/2021,14298,14298
16/10/2021,9761,9761
17/10/2021,6185,6185
18/10/2021,9319,9319
19/10/2021,13233,13233
20/10/2021,15708,15708
21/10/2021,16986,16986
22/10/2021,13398,13398
23/10/2021,11905,11905
24/10/2021,4536,4536
25/10/2021,7827,7827
26/10/2021,13345,13345
27/10/2021,17124,17124
28/10/2021,13686,13686
29/10/2021,12681,12681
30/10/2021,10012,10012
31/10/2021,6130,6130
01/11/2021,4626,4626
02/11/2021,5918,5918
03/11/2021,16310,16310
04/11/2021,13247,13247
05/11/2021,12998,12998
06/11/2021,11173,11173
07/11/2021,5661,5661
08/11/2021,6881,6881
09/11/2021,11810,11810
10/11/2021,14980,14980
11/11/2021,15538,15538
12/11/2021,14599,14599
13/11/2021,9358,9358
14/11/2021,4302,4302
15/11/2021,2743,2743
16/11/2021,6568,6568
17/11/2021,13112,13112
18/11/2021,11402,11402
19/11/2021,12373,12373
20/11/2021,8215,8215
21/11/2021,5088,5088
22/11/2021,4141,4141
23/11/2021,12440,12440
24/11/2021,12254,12254
25/11/2021,12283,12283
26/11/2021,10879,10879
27/11/2021,8309,8309
28/11/2021,3536,3536
29/11/2021,4489,4489
30/11/2021,10285,10285
01/12/2021,12282,12282
02/12/2021,11931,11931
03/12/2021,10622,10622
04/12/2021,7407,7407
05/12/2021,4693,4693
06/12/2021,6017,6017
07/12/2021,10136,10136
08/12/2021,10132,10132
09/12/2021,8753,8753
10/12/2021,7065,7065
11/12/2021,2684,2684
12/12/2021,1615,1615
13/12/2021,2770,2770
14/12/2021,4379,4379
15/12/2021,5078,5078
16/12/2021,3661,3661
17/12/2021,4363,4363
18/12/2021,2381,2381
19/12/2021,1458,1458
20/12/2021,2639,2639
21/12/2021,3734,3734
22/12/2021,3226,3226
23/12/2021,3774,3774
24/12/2021,3680,3680
25/12/2021,3674,3674
26/12/2021,4969,4969
27/12/2021,6952,6952
28/12/2021,9052,9052
29/12/2021,9761,9761
30/12/2021,12618,12618
31/12/2021,10190,10190
01/01/2022,3782,3782
02/01/2022,1806,1806
03/01/2022,11654,11654
04/01/2022,19171,19171
05/01/2022,22852,22852
06/01/2022,35826,35826
07/01/2022,63292,63292
08/01/2022,49303,49303
09/01/2022,,29658
10/01/2022,,33921
11/01/2022,73255,73255
12/01/2022,87873,87873
13/01/2022,97945,97945
14/01/2022,111112,111112
15/01/2022,,48562
16/01/2022,,33277
17/01/2022,,74381
18/01/2022,140342,140342
19/01/2022,195541,195541
20/01/2022,169786,169786
21/01/2022,171321,171321
22/01/2022,165110,165110
23/01/2022,,122796
24/01/2022,,87627
25/01/2022,200290,200290
26/01/2022,217771,217771
27/01/2022,229702,229702
28/01/2022,,260806
29/01/2022,205597,205597
30/01/2022,,104449
31/01/2022,,102883
01/02/2022,171251,171251
02/02/2022,185964,185964
03/02/2022,,287149
04/02/2022,218560,218560
05/02/2022,158092,158092
06/02/2022,,61853
07/02/2022,,69615
08/02/2022,177483,177483
09/02/2022,179417,179417
10/02/2022,162636,162636
11/02/2022,163786,163786
12/02/2022,134950,134950
13/02/2022,,58618
14/02/2022,,59363
15/02/2022,125201,125201
16/02/2022,142528,142528
17/02/2022,120123,120123
18/02/2022,132119,132119
19/02/2022,105129,105129
20/02/2022,40813,40813
21/02/2022,40278,40278
22/02/2022,103493,103493
23/02/2022,131385,131385
24/02/2022,95899,95899
25/02/2022,90436,90436
26/02/2022,69881,69881
27/02/2022,27242,27242
28/02/2022,19777,19777
01/03/2022,22279,22279
02/03/2022,27645,27645
03/03/2022,60177,60177
04/03/2022,71380,71380
05/03/2022,62748,62748
06/03/2022,15725,15725
07/03/2022,21306,21306
08/03/2022,74487,74487
09/03/2022,45783,45783
10/03/2022,61105,61105
11/03/2022,54022,54022
12/03/2022,47796,47796
13/03/2022,13809,13809
14/03/2022,16512,16512
15/03/2022,49694,49694
16/03/2022,47738,47738
17/03/2022,44033,44033
18/03/2022,51990,51990
19/03/2022,39635,39635
20/03/2022,13379,13379
21/03/2022,12268,12268
22/03/2022,41559,41559
23/03/2022,46721,46721
24/03/2022,37206,37206
25/03/2022,34201,34201
26/03/2022,29334,29334
27/03/2022,10637,10637
28/03/2022,7901,7901
29/03/2022,29550,29550
30/03/2022,33413,33413
31/03/2022,31066,31066
01/04/2022,26843,26843
02/04/2022,17062,17062
03/04/2022,7210,7210
04/04/2022,12572,12572
05/04/2022,26915,26915
06/04/2022,,26822
07/04/2022,,26234
08/04/2022,30212,30212
09/04/2022,21229,21229
10/04/2022,7210,7210
11/04/2022,7930,7930
12/04/2022,22377,22377
13/04/2022,,26648
14/04/2022,,23090
15/04/2022,13278,13278
16/04/2022,2775,2775
17/04/2022,2541,2541
18/04/2022,8470,8470
19/04/2022,14131,14131
20/04/2022,,36750
21/04/2022,,18660
22/04/2022,8068,8068
23/04/2022,7111,7111
24/04/2022,3655,3655
