date;Brazil;Brazil
12/09/2021;3.69755E-05;7861
13/09/2021;4.06773E-05;8648
14/09/2021;6.38335E-05;13571
15/09/2021;6.24459E-05;13276
16/09/2021;0.000166731;35447
17/09/2021;0.000166214;35337
18/09/2021;0;
19/09/2021;4.31562E-05;9175
20/09/2021;4.36736E-05;9285
21/09/2021;7.23424E-05;15380
22/09/2021;0.00015326;32583
23/09/2021;0.000117201;24917
24/09/2021;8.7794E-05;18665
25/09/2021;6.5207E-05;13863
26/09/2021;4.16557E-05;8856
27/09/2021;4.39558E-05;9345
28/09/2021;7.94167E-05;16884
29/09/2021;7.94214E-05;16885
30/09/2021;0.00010325;21951
01/10/2021;8.49577E-05;18062
02/10/2021;5.82596E-05;12386
03/10/2021;4.30527E-05;9153
04/10/2021;5.41769E-05;11518
05/10/2021;0.000104163;22145
06/10/2021;8.72342E-05;18546
07/10/2021;6.87488E-05;14616
08/10/2021;8.71825E-05;18535
09/10/2021;6.96331E-05;14804
10/10/2021;3.95673E-05;8412
11/10/2021;3.28928E-05;6993
12/10/2021;3.45955E-05;7355
13/10/2021;3.93791E-05;8372
14/10/2021;7.16463E-05;15232
15/10/2021;6.72531E-05;14298
16/10/2021;4.59125E-05;9761
17/10/2021;2.90922E-05;6185
18/10/2021;4.38335E-05;9319
19/10/2021;6.22437E-05;13233
20/10/2021;7.38852E-05;15708
21/10/2021;7.98965E-05;16986
22/10/2021;6.30198E-05;13398
23/10/2021;5.59972E-05;11905
24/10/2021;2.13358E-05;4536
25/10/2021;3.68156E-05;7827
26/10/2021;6.27705E-05;13345
27/10/2021;8.05456E-05;17124
28/10/2021;6.43744E-05;13686
29/10/2021;5.96472E-05;12681
30/10/2021;4.70931E-05;10012
31/10/2021;2.88335E-05;6130
01/11/2021;2.17592E-05;4626
02/11/2021;2.78363E-05;5918
03/11/2021;7.67168E-05;16310
04/11/2021;6.23095E-05;13247
05/11/2021;6.11383E-05;12998
06/11/2021;5.25541E-05;11173
07/11/2021;2.66275E-05;5661
08/11/2021;3.23659E-05;6881
09/11/2021;5.55503E-05;11810
10/11/2021;7.0461E-05;14980
11/11/2021;7.30856E-05;15538
12/11/2021;6.86689E-05;14599
13/11/2021;4.40169E-05;9358
14/11/2021;2.02352E-05;4302
15/11/2021;1.29022E-05;2743
16/11/2021;3.08937E-05;6568
