date;Argentina;Argentina
10/03/2022;0.000135534;6137
11/03/2022;0.000124006;5615
12/03/2022;6.59452E-05;2986
13/03/2022;2.72968E-05;1236
14/03/2022;0.000102628;4647
15/03/2022;0.000112102;5076
16/03/2022;0.000103379;4681
17/03/2022;0.000101082;4577
18/03/2022;0.000318375;14416
19/03/2022;3.74779E-05;1697
20/03/2022;2.70981E-05;1227
21/03/2022;7.98145E-05;3614
22/03/2022;0.000103578;4690
23/03/2022;7.95716E-05;3603
24/03/2022;3.4894E-05;1580
25/03/2022;5.68021E-05;2572
26/03/2022;3.19125E-05;1445
27/03/2022;1.80654E-05;818
28/03/2022;5.86352E-05;2655
29/03/2022;7.57951E-05;3432
30/03/2022;6.54814E-05;2965
31/03/2022;6.14841E-05;2784
01/04/2022;4.25574E-05;1927
02/04/2022;1.7712E-05;802
03/04/2022;1.0689E-05;484
04/04/2022;4.35954E-05;1974
05/04/2022;4.92049E-05;2228
06/04/2022;4.59806E-05;2082
07/04/2022;4.06802E-05;1842
08/04/2022;4.4015E-05;1993
09/04/2022;1.85512E-05;840
10/04/2022;1.00044E-05;453
11/04/2022;3.51148E-05;1590
12/04/2022;4.58701E-05;2077
13/04/2022;3.79859E-05;1720
14/04/2022;3.15371E-05;1428
15/04/2022;1.30963E-05;593
16/04/2022;1.21687E-05;551
17/04/2022;9.4523E-06;428
18/04/2022;0;0
19/04/2022;0;0
20/04/2022;0;0
21/04/2022;0;0
22/04/2022;0;0
23/04/2022;0;0
24/04/2022;0;0
