date;Italy;Italy;;
11-set-21;8.71704E-05;5191;;
12-set-21;7.83207E-05;4664;;
13-set-21;4.6885E-05;2792;;
14-set-21;6.73216E-05;4009;;
15-set-21;8.10411E-05;4826;;
16-set-21;8.58942E-05;5115;;
17-set-21;7.63056E-05;4544;;
18-set-21;7.6843E-05;4576;;
19-set-21;6.44165E-05;3836;;
20-set-21;4.03862E-05;2405;;
21-set-21;5.66583E-05;3374;;
22-set-21;6.65491E-05;3963;;
23-set-21;6.80605E-05;4053;;
24-set-21;6.3644E-05;3790;;
25-set-21;5.90932E-05;3519;;
26-set-21;5.20403E-05;3099;;
27-set-21;2.97733E-05;1773;;
28-set-21;4.97397E-05;2962;;
29-set-21;5.39379E-05;3212;;
30-set-21;6.8749E-05;4094;;
01-out-21;5.71453E-05;3403;;
02-out-21;5.55668E-05;3309;;
03-out-21;4.98237E-05;2967;;
04-out-21;2.70697E-05;1612;;
05-out-21;4.13602E-05;2463;;
06-out-21;5.42737E-05;3232;;
07-out-21;4.92527E-05;2933;;
08-out-21;5.06633E-05;3017;;
09-out-21;4.61293E-05;2747;;
10-out-21;3.82536E-05;2278;;
11-out-21;2.54576E-05;1516;;
12-out-21;4.17464E-05;2486;;
13-out-21;4.64987E-05;2769;;
14-out-21;4.47691E-05;2666;;
15-out-21;4.5827E-05;2729;;
16-out-21;5.00756E-05;2982;;
17-out-21;4.089E-05;2435;;
18-out-21;2.67674E-05;1594;;
19-out-21;4.52561E-05;2695;;
20-out-21;6.21159E-05;3699;;
21-out-21;6.36608E-05;3791;;
22-out-21;6.51385E-05;3879;;
23-out-21;6.55751E-05;3905;;
24-out-21;6.25189E-05;3723;;
25-out-21;4.25693E-05;2535;;
26-out-21;6.80605E-05;4053;;
27-out-21;7.7162E-05;4595;;
28-out-21;8.16625E-05;4863;;
29-out-21;8.95382E-05;5332;;
30-out-21;8.18976E-05;4877;;
31-out-21;7.59866E-05;4525;;
01-nov-21;4.73216E-05;2818;;
02-nov-21;4.75399E-05;2831;;
03-nov-21;8.71201E-05;5188;;
04-nov-21;9.911E-05;5902;;
